2.999999999999999889e-02 1.369331250000000000e+15
1.100000000000000006e-01 1.232932265625000000e+15
1.799999999999999933e-01 1.142185625000000000e+15
2.600000000000000089e-01 1.122435078125000000e+15
3.300000000000000155e-01 1.100913203125000000e+15
4.199999999999999845e-01 1.048967890625000000e+15
5.000000000000000000e-01 9.684186718750000000e+14
5.999999999999999778e-01 8.352417187500000000e+14
6.999999999999999556e-01 6.507881250000000000e+14
7.900000000000000355e-01 6.085905468750000000e+14
9.200000000000000400e-01 5.347996875000000000e+14
1.040000000000000036e+00 3.218639453125000000e+14
1.149999999999999911e+00 2.505065429687500000e+14
1.300000000000000044e+00 2.086531445312500000e+14
1.409999999999999920e+00 1.777884960937500000e+14
1.600000000000000089e+00 1.378350683593750000e+14
1.820000000000000062e+00 1.151826464843750000e+14
2.000000000000000000e+00 9.250993164062500000e+13
2.209999999999999964e+00 5.879301269531250000e+13
2.439999999999999947e+00 5.272564941406250000e+13
