2.999999999999999889e-02 1.362556406250000000e+15
1.100000000000000006e-01 1.233404609375000000e+15
1.799999999999999933e-01 1.134400781250000000e+15
2.600000000000000089e-01 1.115053046875000000e+15
3.300000000000000155e-01 1.100003046875000000e+15
4.199999999999999845e-01 1.043331250000000000e+15
5.000000000000000000e-01 9.617715625000000000e+14
5.999999999999999778e-01 8.163320312500000000e+14
6.999999999999999556e-01 6.502029296875000000e+14
7.900000000000000355e-01 6.054404687500000000e+14
9.200000000000000400e-01 5.263587890625000000e+14
1.040000000000000036e+00 3.223824414062500000e+14
1.149999999999999911e+00 2.519254296875000000e+14
1.300000000000000044e+00 2.081191601562500000e+14
1.409999999999999920e+00 1.765778320312500000e+14
1.600000000000000089e+00 1.376782714843750000e+14
1.820000000000000062e+00 1.136257226562500000e+14
2.000000000000000000e+00 9.211835937500000000e+13
2.209999999999999964e+00 5.860584472656250000e+13
2.439999999999999947e+00 5.163426269531250000e+13
